raw_material_id,raw_material_sku,suppliers
288,RM-C14-chloride-3391a511,"Jost Chemical,Prinova USA"
289,RM-C14-chromium-e949ac4b,"Jost Chemical,Prinova USA"
290,RM-C14-copper-0315914d,"Jost Chemical,Prinova USA"
291,RM-C14-folate-65ea52b0,"Prinova USA,PureBulk"
292,RM-C14-gelatin-017eb28d,"Capsuline,Darling Ingredients / Rousselot"
293,RM-C14-iodine-f96d860c,"Jost Chemical,Prinova USA"
294,RM-C14-iron-1f8c0d39,"Jost Chemical,Prinova USA"
295,RM-C14-lutein-c82b0e46,"American Botanicals,Mueggenburg USA"
296,RM-C14-lycopene-92d0ad75,"American Botanicals,Mueggenburg USA"
297,RM-C14-magnesium-0ad704ee,"Jost Chemical,Prinova USA"
298,RM-C14-manganese-c9e87173,"Jost Chemical,Prinova USA"
299,RM-C14-molybdenum-4a13d728,"Jost Chemical,Prinova USA"
300,RM-C14-niacinamide-603dda4f,"Prinova USA,PureBulk"
301,RM-C14-pantothenic-acid-9e8a871d,"Prinova USA,PureBulk"
302,RM-C14-potassium-e9dad6ca,"Jost Chemical,Prinova USA"
303,RM-C14-riboflavin-cca38c81,"Prinova USA,PureBulk"
304,RM-C14-selenium-95d94eb8,"Jost Chemical,Prinova USA"
305,RM-C14-thiamine-904ca673,"Prinova USA,PureBulk"
306,RM-C14-vitamin-a-72b32d59,"Prinova USA,PureBulk"
307,RM-C14-vitamin-b1-9fb2f65d,"Prinova USA,PureBulk"
308,RM-C14-vitamin-b12-296cc7e3,"Prinova USA,PureBulk"
309,RM-C14-vitamin-b2-cad7cce6,"Prinova USA,PureBulk"
310,RM-C14-vitamin-b6-c130b713,"Prinova USA,PureBulk"
311,RM-C14-vitamin-c-e97cb4c7,"Prinova USA,PureBulk"
312,RM-C14-vitamin-d-0d97442e,"Prinova USA,PureBulk"
313,RM-C14-vitamin-e-7d43f6b1,"Prinova USA,PureBulk"
314,RM-C14-vitamin-k-8acc4148,"Prinova USA,PureBulk"
315,RM-C14-vitamin-k1-59e9cf97,"Prinova USA,PureBulk"
316,RM-C14-zinc-35e67d6e,"Jost Chemical,Prinova USA"
317,RM-C15-beet-powder-584aabff,"American Botanicals,Mueggenburg USA"
318,RM-C15-coconut-water-powder-ed983a65,"AIDP,American Botanicals"
319,RM-C15-lemon-juice-powder-0952a268,"AIDP,American Botanicals"
320,RM-C15-monk-fruit-extract-3b75b354,"Cargill,Prinova USA"
321,RM-C15-non-gmo-citric-acid-7638d213,"Ingredion,Prinova USA"
322,RM-C15-organic-flavor-1c1273ac,"Gold Coast Ingredients"
323,RM-C15-organic-ginger-4318d2ea,"American Botanicals,Mueggenburg USA"
324,RM-C15-organic-pomegranate-juice-powder-b89704e5,"American Botanicals,Mueggenburg USA"
325,RM-C15-organic-stevia-extract-f10816df,"Sawgrass Nutra Labs"
326,RM-C15-organic-turmeric-75c7aa52,"American Botanicals,Mueggenburg USA"
327,RM-C15-pink-himalayan-salt-7f2aeceb,"Jost Chemical,PureBulk"
328,RM-C15-sodium-citrate-2bb2e71f,"Jost Chemical,PureBulk"
329,RM-C16-calcium-6951db19,"Jost Chemical,Prinova USA"
330,RM-C16-citric-acid-67e2da70,"Prinova USA,Univar Solutions"
331,RM-C16-magnesium-e731ae15,"Jost Chemical,Prinova USA"
332,RM-C16-natural-flavors-2b576df4,"Gold Coast Ingredients"
333,RM-C16-potassium-3356f222,"Jost Chemical,Prinova USA"
334,RM-C16-sodium-ec6914d6,"Jost Chemical,Prinova USA"
335,RM-C17-ascorbic-acid-ab2a6348,"Prinova USA,PureBulk"
336,RM-C17-ascorbyl-palmitate-f401359d,"Prinova USA,PureBulk"
337,RM-C17-bht-7970c2c1,"Spectrum Chemical,Univar Solutions"
338,RM-C17-beta-carotene-75e75e5d,"Prinova USA,PureBulk"
339,RM-C17-biotin-07291e5b,"Prinova USA,PureBulk"
340,RM-C17-calcium-carbonate-164af619,"Jost Chemical,PureBulk"
341,RM-C17-carboxymethylcellulose-sodium-1d92bbc2,"Ashland,Colorcon"
342,RM-C17-cholecalciferol-75e08048,"Prinova USA,PureBulk"
343,RM-C17-chromium-5721b069,"Jost Chemical,Prinova USA"
344,RM-C17-chromium-chloride-ac386ae8,"Jost Chemical,PureBulk"
345,RM-C17-chromium-picolinate-9a349105,"Jost Chemical,Prinova USA"
346,RM-C17-croscarmellose-sodium-a3e32460,"Ashland,Colorcon"
347,RM-C17-cupric-oxide-95cf9a6a,"Jost Chemical,PureBulk"
348,RM-C17-cupric-sulfate-38ac7927,"Jost Chemical,PureBulk"
349,RM-C17-cyanocobalamin-902cb05e,"Prinova USA,PureBulk"
350,RM-C17-d-calcium-pantothenate-b22e6b6d,"Prinova USA,PureBulk"
351,RM-C17-dicalcium-phosphate-a5ed9ed7,"Jost Chemical,PureBulk"
352,RM-C17-fd-and-c-blue-no-2-lake-64e07256,"Gold Coast Ingredients,Sensient"
353,RM-C17-fd-and-c-red-no-40-lake-0779ba16,"Gold Coast Ingredients,Sensient"
354,RM-C17-fd-and-c-yellow-no-6-lake-6685d42c,"Gold Coast Ingredients,Sensient"
355,RM-C17-ferrous-fumarate-1bb7e62c,"Jost Chemical,PureBulk"
356,RM-C17-folic-acid-6c8e8f26,"Prinova USA,PureBulk"
357,RM-C17-gelatin-45b7cd2c,"Capsuline,Darling Ingredients / Rousselot"
358,RM-C17-glucose-16858abc,"Ingredion,Prinova USA"
359,RM-C17-gum-arabic-21ea5acf,"Ingredion,Prinova USA"
360,RM-C17-hydroxypropyl-methylcellulose-46512c9c,"Ashland,Colorcon"
361,RM-C17-lycopene-37067980,"American Botanicals,Mueggenburg USA"
362,RM-C17-magnesium-oxide-2b403060,"Jost Chemical,Prinova USA"
363,RM-C17-magnesium-stearate-6abf59fc,"Ashland,Colorcon"
364,RM-C17-maltodextrin-8c87d5eb,Ingredion
365,RM-C17-manganese-sulfate-f60c6285,"Jost Chemical,PureBulk"
366,RM-C17-medium-chain-triglycerides-8f09d80d,"ADM,Cargill"
367,RM-C17-microcrystalline-cellulose-557e108b,"Ashland,Colorcon"
368,RM-C17-molybdenum-bc44eb9d,"Jost Chemical,Prinova USA"
369,RM-C17-niacin-3c2ef14d,"Prinova USA,PureBulk"
370,RM-C17-nicotinamide-bcdfeba8,"Prinova USA,PureBulk"
371,RM-C17-pantothenic-acid-cc467f0a,"Prinova USA,PureBulk"
372,RM-C17-phytonadione-55621c1e,"Prinova USA,PureBulk"
373,RM-C17-polydextrose-cd4814b7,Ingredion
374,RM-C17-polyvinyl-alcohol-7d52bf18,"Ashland,Colorcon"
375,RM-C17-potassium-chloride-35a32d7a,"Jost Chemical,PureBulk"
376,RM-C17-potassium-iodide-e373836a,"Jost Chemical,PureBulk"
377,RM-C17-pyridoxine-hydrochloride-9ea3cd1b,"Prinova USA,PureBulk"
378,RM-C17-retinyl-acetate-464fff68,"Prinova USA,PureBulk"
379,RM-C17-riboflavin-1e96c616,"Prinova USA,PureBulk"
380,RM-C17-selenium-3c5cc68c,"Jost Chemical,Prinova USA"
381,RM-C17-silica-53bc9dc6,"Ashland,Colorcon"
382,RM-C17-sodium-aluminum-silicate-ad903eef,"Ashland,Colorcon"
383,RM-C17-sodium-ascorbate-f4dc2885,"Prinova USA,PureBulk"
384,RM-C17-sodium-benzoate-4b00adc9,"Ashland,Colorcon"
385,RM-C17-sodium-molybdate-0f7d838a,"Jost Chemical,PureBulk"
386,RM-C17-sodium-selenite-733ab69c,"Jost Chemical,PureBulk"
387,RM-C17-sodium-starch-glycolate-027c1542,Ingredion
